zh_name,en_name
女巫和术士的编年史,Chronicles of The Witches and Warlock
植物大战僵尸：花园战争,Plants vs Zombies: Garden Warfare
勇敢的心：世界大战,Valliant Hearts: The Great War
荒芜星球,Lifeless Planet Premier Edition
狙击精英3,Sniper Elite 3
谋杀：灵魂疑犯,Murdered: Soul Suspect
旋转轮胎,Spin Tires
猎人经典版,theHunter Classic
反抗,Defiance
国家的崛起：爱国战争,Rise of Nations: Thrones and Patriots
死亡比特,Dead Bits
雾尼,Munin
超级房车赛：汽车运动,Grid Autosport
像素解谜：亡灵,Pixel Puzzles: UndeadZ
萌树伍德冒险,Woodle Tree Adventures
炫彩神球2：炫彩风暴,Ionball 2：Ionstorm
赛车8,Racer 8
波斯传奇,Legends of Persia
时之水晶,Crystals of Time
魔力遗迹,Magicite
动物园,Zoo Park
碰碰枪,Cube Gun
吃球游戏,Ichi
保卫鬼屋：恐怖城镇,Haunt the House：Terrortown
变形金刚：暗焰崛起,Transformers：Rise of the Dark Spark
节奏破坏,Rhythm Destruction
梵蒂冈的阴影：第一章-贪婪,Shadows on the Vatican: Act I - Greed
最终格斗2,Final Slam 2
幻想头骨,Fancy Skulls
异种航员,Xenonauts
断剑5：毒蛇诅咒,Broken Sword 5：the Serpent's Curse
英雄连2：西线军团,Company of Heroes 2: The Western Front Armies
太空快运,Space Run
妖精：阿瓦隆传奇,Faery: Legends of Avalon
红莲四羽：世界引燃,Crimzon Clover：World Ignition
超级玩具车,Super Toy Cars
战斗群组2,Battle Group 2
星际快车2,FLASHOUT 2
1001颗钉子,1001 Spikes
荣耀冲击,Rush For Glory
摩托GP 14,MotoGP 14
敌之心灵,Enemy Mind
黑暗突袭,Dark Raid
地牢元素,Dungeon of Elements
天空变色龙：色彩小特工,Spy Chameleon RGB Agent
路德维希,Ludwig
少数派,The Few
野外回声,Echo of the Wilds
复刻魂斗罗,8-Bit Commando
熔毁,Meltdown
末日纪元,EPOCH.
太平洋风暴,Storm Over the Pacific
繁星点点,Pulstar
巫师的蜥蜴,A Wizard's Lizard
近距离作战：卡昂门户,Close Combat：Gateway to Caen
血浴,Bloodbath
小鸡入侵者4：终极煎蛋,Chicken Invaders 4：Ultimate Omelette
震荡,Concursion
旅行者,Voyager
二轮战车,Qvadriga
极限之路：美国,Extreme Roads USA
职业自行车队经理2014,Pro Cycling Manager 2014
坠落的登陆器,Crashed Lander
幽灵控制公司,GhostControl Inc
武术：卡普埃拉,Martial Arts Capoeira
自由空间2,FreeSpace 2
唐纳德布莱德曼板球14,Don Bradman Cricket 14
ZAMB！消灭变异体,ZAMB!Biomutant Extermination
折纸鲨鱼,Derrick the Deathfin
时间交换：看看过去,Time Swap：A Look At The Past
亵渎神明,Sacrilegium
觉醒6：红叶森林,Awakening 6：Redleaf Forest
房屋,The House
食肉猛兽,Beasts of Prey
非凡使命：天赋少年,Paranormal Pursuit: The Gifted One
大海战3,Navy Field 3
重生传说2：泰坦的复仇,Revived Legends 2: Titan's Revenge
索道模拟2014,Ropeway Simulator 2014
空间坦克,Space Tank
神魔大陆2,Forsaken World 2
加菲猫历险记,Garfield's Wild Ride
理查德和爱丽丝,Richard and Alice
我和启示2：刺耳,Me and PostApocalypse 2：Scraping
光之联盟2：邪恶收获,League of Light 2: Wicked Harvest
山姆吉福：私家侦探第一章,Sam Glyph: Private Eye! Season One
风铃原画之夏日,Feng Ling Yuan Hua Zhi Xia Ri
美食厨师的挑战：世界竞技赛,Gourmet Chef Challenge: Around the World
汉尼拔：罗马的恐怖,Hannibal：Terror of Rome
FX足球,FX Football
谎言之海：复仇,Sea of Lies：Nemesis
海盗又见海盗,Pirated Pirates
规范之城,Groove City
悬崖之马,Cliffhorse
隐秘传说：咒绊之地,Shrouded Tales: The Spellbound Land
悲惨世界2：冉阿让,Les Miserables 2：Jean Valjean
飞跃太空,Beyond Space
幻景2：梦魇的继承者,Dreamscapes: Nightmare's Heir
世界巡回拼图2,Jigsaw World Tour 2
马勒维奇,Malevic
命运之谜3：死亡预兆,Riddles of Fate: Memento Mori
钢铁海防：前线捍卫者,Iron Sea Frontier Defenders
赏金,The Bounty
地球毁灭者,Earth Destroyer
岩场,Rock And Field
命运之神,God of Destiny
战斗牧场,Battle Ranch
看门狗,Watch Dogs
德军总部：新秩序,Wolfenstein: The New Order
100%鲜橙汁,100 Percent Orange Juice
战斗砖块剧场,BattleBlock Theater
真三国无双7：猛将传,Dynasty Warriors 8: Xtreme Legends
海岛大亨5,Tropico 5
叔叔的传说,A Story About My Uncle
晶体管,Transistor
坠落,The Fall
战争之人：突击小队2,Men of War: Assault Squad 2
杀手已死,Killer is Dead
火药瘾君子,Fistful of Frags
无畏幻想,Fearless Fantasy
艾波与欧波,ibb and obb
范海辛的奇妙冒险2,The Incredible Adventures of Van Helsing 2
麦克斯：兄弟魔咒,Max: The Curse of Brotherhood
风语世界,The Whispered World
神话时代：扩充版,Age of Mythology: Extended Edition
异形：守护者,Anomaly Defenders
宰杀奶牛,The Culling of the Cows
弗雷德里克：音乐复兴,Frederic: Resurrection of Music
弗雷德里克：邪恶再临,Frederic-Evil Strikes Back
混沌领域,Chaos Domain
漫步者救援,Rover Rescue
勇猛蟑螂重制版,RADical ROACH Remastered
机械之手,Ampu-tea
迷宫追逐大挑战,Chompy Chomp Chomp
狂飙速杀,Speed Kills
阿斯塔布里德,Astebreed
最后的修补匠：彩色之城,The Last Tinker：City of Colors
刀剑交响曲,Blade Symphony
荒凉的希望,The Desolate Hope
吸血鬼德古拉4+5,Dracula 4and5
火焰限界,Bound by Flame
最后一扇门,The Last Door
星道,Ascendant
根源计划,Project Root
特斯拉效应：神探墨菲的冒险,Tesla Effect: A Tex Murphy Adventure
吸血莱恩：背叛,BloodRayne Betrayal
农场世界,Farming World
群魔横行,Full Mojo Rampage
茜女忍者,Akane the Kunoichi
松饼骑士,Muffin Knight
八位男孩,8-Bit Boy
年代记,Chronology
每人心中都有一只怪兽,Always Sometimes Monsters
怒火狂奔,Rage Runner
病变,Paradigm Shift
陌生受害人,Victim of Xen
法码滋,Famaze
战锤40K：杀戮小队,Warhammer 40000：Kill Team
昏迷：殓房,Coma：Mortuary
单色调,Monochroma
立方：擎天之盒,Qbeh-1 The Atlas Cube
车祸英雄,Turbo Dismount
荒岛生存,Stranded
弹幕天邪鬼,Impossible Spell Card
最高统治者1936,Supreme Ruler 1936
干掉坏蛋,Kill The Bad Guy
遥远的世界：宇宙,Distant Worlds: Universe
闪闪发光的萤火虫,Shiny The Firefly
青蛙深呼吸,They Breathe
银河系军备竞赛,Galactic Arms Race
爆笑进击的兽人,Orc Attack：Flatulent Rebellion
街机争霸,Arcadecraft
进入黑暗,Into the Dark
闪电战：白色方案,The Campaign Series: Fall Weiss
自命不凡的游戏,Pretentious Game
霸道矿车,Swipecart
鬼畜天线宝宝2,Slendy Tubbies 2
野生动物园大亨3,Wildlife Park 3
暂时计划,Project Temporality
莉利：吉奥斯之子,Lili: Child of Geos
罗马霸权：凯撒崛起,Hegemony Rome: The Rise of Caesar
黑暗拾荒者,Dark Scavenger
围攻龟飞地,Siege of Turtle Enclave
吞食天地2秋风五丈原重制版,Tenchi o Kurau 2-geniuses sanctuaries Remake
吾心何在,Where is my Heart?
双子机器人,Twin Robots
糖果炮手,Sweezy Gunner
不可能的游戏,The Impossible Game
深海女皇2：蓝鲸之歌,Empress of the Deep 2：Song of the Blue Whale
像素男孩和无尽地牢,Pixel Boy and the Ever Expanding Dungeon
矿山探秘,Full Bore
勇士之王：战斗,Warrior Kings：Battles
消失的弹珠,Lost Marbles
有机蔬菜恐慌,Organic Panic
狼人血统,Blood of the Werewolf
高科技赛车：模拟玩具车赛,HTR+Slot Car Simulation
火场英雄2014,Firefighters 2014
幽灵布丁大冒险,The Great Jitters：Pudding Panic
他们：召唤,Them: The Summoning
矮人塔,Dwarf Tower
黑色彩虹,Black Rainbow
遍地果冻,The Floor is Jelly
插翅难逃,Inescapable
机装猎兵EX,Gunhound EX
地铁世界第三辑：伦敦,World of Subways Vol.3: London Underground Circle Line
战火风暴,WAR STORM
南茜朱尔：破碎的勋章,Nancy Drew: The Shattered Medallion
东方深秘录,Touhou Shinpiroku
天旋地转：自由空间,Descent: FreeSpace – The Great War
披萨快递员,Pizzarian
文明帝国OL,CIVILIZATION ONLINE
魔法对抗：巫师战争,Magicka：Wizard Wars
重建僵尸大陆：僵尸村黑帮,Rebuild: Gangs of Deadsville
憾动的世界,The Stomping Land
水上乐园大亨,Waterpark Tycoon
美式鼓掌,Americlap
末日屠龙,World of Dragonslayer
机甲小队,Mecha Squad
大城市冒险：里约热内卢,Big City Adventure：Rio de Janeiro
超时空战队,Super Time Force
光速摩托,Tr-Zero
升华：库尔之手,Ascend：Hand of Kul
凶暴奇谈3：豹之视野,Fierce Tales: Feline Sight
女巫诡异：青蛙王子的命运,Witch's Pranks: Frog's Fortune
银河装甲,Astebreed
劲跑团,Jin Pao Tuan
怪奇公园3：终场秀,Weird Park: The Final Show
崎岖王国,Rugged Kingdom
环形监狱：反省方式,Panopticon Path of Reflection
裂轮竞技场,Gearcrack Arena
优达寿司大亨2,Youda Sushi Chef 2
重制地球,Crafting Story
音乐大师4：黑暗天赋,Maestro: Dark Talent
华丽印章,Magnificent Seal
兽迷2：终极版,Furry 2: Ultimate
女巫的遗产：羁绊,Witches' Legacy: The Ties That Bind
九象,9 Elefants
航空指挥,Air Control
琥珀故事：沉船之岛,Amber's Tales：The Isle of Dead Ships
零海拔：低平快,Altitude0：Lower and Faster
幽魂旅店6：远古灾星,Haunted Hotel: Ancient Bane
报应新篇,A New Reckoning
机器人克拉克,CLARC
模拟山羊,Goat Simulator
上古卷轴OL,The Elder Scrolls Online
奇迹时代3,Age of Wonders III
光之子,Child of Light
特技摩托：聚变,Trials Fusion
乐高霍比特人,LEGO The Hobbit
黑暗之魂2,Dark Souls 2
繁荣世界,Prime World
神奇蜘蛛侠2,The Amazing Spider-Man 2
光环：斯巴达突袭,Halo: Spartan Assault
生生不息,Life Goes On
凯旋之刃,Arche Blade
蝙蝠侠：阿甘起源之黑门,Batman：Arkham Origins Blackgate
太空农夫,Space Farmers
峡谷跳跃,Canyon Capers
像素解谜：日本,Pixel Puzzles: Japan
米莉,Millie
阴暗：瓦尔登与狼人,Overcast: Walden and the Werewolf
吸血鬼德古拉3：龙之路,Dracula 3：The Path of the Dragon
蒸汽英雄,Steam Heroes
电路,Circuits
千年：新希望,Millennium A New Hope
千户之屋：家族秘密,House of 1000 Doors: Family Secrets
机械逃脱,Mechanic Escape
王朝铸造者,ReignMaker
芯片,Chip
天灾：爆发,Scourge: Outbreak
棒球巨星2015,Baseball Mogul 2015
吸血鬼德古拉：魔体复活,Dracula：The Resurrection
远空,FarSky
阿加雷斯特战记Zero,Agarest: Generations of War Zero
任务之旅,QuestRun
诺斯特拉德马斯：最后的预言,Nostradamus The Last Prophecy
子午线：新世界,Meridian: New World
大力士棋,Abalone
莫比斯：帝国崛起,Moebius: Empire Rising
电池大逃亡,Volt
黑色规则：西格玛,Croixleur Sigma
术士2：放逐,Warlock 2: The Exiled
吟唱勇士,Bardbarian
星际走私5,Smugglers 5
最后的联盟,The Last Federation
艾特瑞姆,Eterium
恐惧深渊：克诺索斯,Depths of Fear：Knossos
闪耀祖玛：释放,Sparkle Unleashed
曙光,Daylight
勇者30：再次降临,Half Minute Hero：The Second Coming
海德里克：鞋匠传奇,Heldric：The legend of the shoemaker
黑色综合症,Noir Syndrome
强袭装甲零号：导演剪辑版,Strike Suit Zero: Director's Cut
布莱克威尔5：显灵,The Blackwell Epiphany
谨防：地球脉动,Beware Planet Earth!
幽灵行动：幻影,Ghost Recon Phantoms
追星族的攻击,Shannon Tweed's Attack of the Groupies!
真实阳光,Actual Sunlight
污染进化,Evopollution
特斯拉能量收集者 3001,T.E.C 3001
命运石之门：比翼恋理的爱人,Steins;Gate: Hiyoku Renri no Darling
黑暗传说：真理狩猎,Dark Lore Mysteries: The Hunt for Truth
巫毒低语者：传奇诅咒,Voodoo Whisperer：Curse of a Legend
莫特岛,Motte Island
滑块人冒险,Slip
逃离博物馆,Escape The Museum
香料之路,Spice Road
破碎震荡,FRACT OSC
桌面足球：街头版,Foosball - Street Edition
星光开端,Starlight Inception
天旋地转3,Descent 3
自由之子,Children of Liberty
真实恐怖故事,Real Horror Stories
维京兄弟,Viking Brothers
斗三国,Dou San Guo
地牢求生,The Dungeoning
激战毛毛虫军团,Battlepillars
起义44：沉默阴影,Uprising44: The Silent Shadows
树木模拟2013：木林森,Tree Simulator 2013：Treeloaded
魔法门之冠军对决,Might & Magic: Duel of Champions
维京传奇3：史诗冒险,Viking Saga 3：Epic Adventure
探险活宝：阿宝和老皮的史诗任务,Finn and Jake's Epic Quest
潜伏,LURKING
巨人国际象棋,Chess Giants
维京之战,War of the Vikings
小火苗大冒险,Pyro Jump
黎明之门,Dawngate
劲爆美国棒球15,Out of the Park Baseball 15
镜子之谜2：遗忘的王国,The Mirror Mysteries: Forgotten Kingdoms
人猿泰山,Tarzan Unleashed
钢铁与蒸汽,Steel and Steam
战场争锋,Battle Nations
OMG HD僵尸,OMG HD Zombies
荒废公寓：创殇,Traumata: The 13th Floor
加勒比,Caribbean!
小憩即永眠,Sleep Is Death
排练与回归,Rehearsals and Returns
虚拟之旅2,Virtual Rides 2
危险射线,Dangerous Rays
恐怖专卖4：幽灵潮汐,Fear for Sale：Phantom Tide
巴西房车锦标赛2013,Game Stock Car 2013
南方公园：真理之杖,South Park: The Stick of Truth
流利学语言,Influent
勇士之地,Braveland
塔倒：升天,TowerFall Ascension
杀出重围：陨落,Deus Ex: The Fall
巫剑神威控,Mitsurugi Kamui Hikae
一击必杀,One Finger Death Punch
革命王牌,Revolution Ace
连接,LYNE
1954：恶魔岛,1954: Alcatraz
炉石传说,hearth stone
佣兵之王,Mercenary Kings
剑勇传奇：忍者龙剑传Z,Yaiba: Ninja Gaiden Z
先锋公主,Vanguard Princess
二者抉一,Ether One
深海恶梦3：戴维琼斯,Nightmares from the Deep 3: Davy Jones
枪之塔,Tower Of Guns
片道勇者,One Way Heroics
幻境高尔夫,Vertiginous Golf
喷射大冒险,Squirt's Adventure
背叛者,Betrayer
天空奇兵,Luftrausers
邮递大师,Post Master
绝命星球,Infested Planet
点心大作战,Eets Munchies
重返神秘岛,Return to Mysterious Island
暗影：邪恶军团,Dark Shadows: Army of Evil
铳翼,Gun Wings
装甲军团,Panzer Corps
漫漫旅途,Year Walk
地下城探险,Quest of Dungeons
云路,Cloudbuilt
花园公司：白手致富,Gardens Inc.: From Rakes to Riches
直升机模拟2014：搜索与救援,Helicopter Simulator 2014: Search and Rescue
藤蔓防御基地3：永恒之弧,Creeper World 3: Arc Eternal
镭,Radium
撒玛利亚悖论,The Samaritan Paradox
山羊逃脱2,Escape Goat 2
纸面地下城,Paper Dungeons
弹幕无限2,Danmaku Unlimited 2
传奇之书,The Book of Legends
矿井激战,Platformines
激流快艇2,Riptide GP2
欧洲战略战争,Strategic War in Europe
疯狂机器：黄金齿轮,Crazy Machines：Golden Gears
最后的梦想,Last Dream
雨一直下,Spate
恶魔城：暗影之王-宿命镜面,Castlevania: Lords of Shadow - Mirror of Fate
盗贼的故事,Rogue's Tale
赛马大亨8,Winning Post 8
重装武器,GIGANTIC ARMY
阿尔法木森：毫无把握第一部,Alpha Kimori™ 1
拖车模拟2015,Towtruck Simulator 2015
工程机器2014,Construction Machines 2014
想象我,Imagine Me
手球挑战赛14,IHF Handball Challenge 14
风之熔炉,Windforge
古：幻影传说,Ku: Shroud of the Morrigan
农机锦标赛2014,Farm Machines Championships 2014
10秒忍者,10 Second Ninja
寻星神探,Dominique Pamplemousse
又一位明星,Another Star
大航海时代5,Uncharted Waters 5
坎贝拉猎人：职业狩猎,Cabela's Big Game Hunter Pro Hunts
蒙塔斯,Montas
恒定重力,Constant C
龙岭传说2：巢穴,Tales From The Dragon Mountain 2: The Lair
漂泊者,Drifter
点点君大进击,Putty Squad
战锤40K：复仇风暴,Warhammer 40000: Storm of Vengeance
防守战术,Line Of Defense Tactics
奔向火星,Race To Mars
赛普拉斯遗产：起点,Cypress Inheritance：The Beginning
飞天小女警：冒险之战,The Powerpuff Girls: Defenders of Townsville
自由足球,Freestyle Football
装甲军团：非洲雄师,Panzer Corps: Afrika Korps
终极恐怖,Affected
魔界村,Makaimura Online
无限危机,Infinite Crisis
隧道开掘工程模拟,Mining and Tunneling Simulation
黑暗传说6：爱伦坡之厄舍府的倒塌,Dark Tales：Edgar Allan Poe's The Fall of The House of Usher
无尽的任务Next,EverQuest Next
神秘绿洲,Mysterious Oasis
暗影狂奔OL,Shadowrun Online
冻结之地,Frozen Endzone
你好威尼斯2：纽约冒险,Hello Venice 2: New York Adventure
幻想任务,Fantasy Quest
中山立志传,Revolutionary of the Sun
总统格斗,Battle for Presidency
活体之中,In Vivo
银河司令部,Galactic Command Echo Squad
符咒,The Spell
玛雅预言：血色之月,Mayan Prophecies: Blood Moon
色度核心,Chromacore
叙利亚,Sylia
路之祭3：捉迷藏,Rite of Passage 3：Hide and Seek
光栅射手,Rasternauts
黑暗时代的原罪,Sins of a Dark Age
遥远路途,Road So Far
佩德拉,Pedra!
你不是香蕉,You Are Not A Banana
生化危机4,Resident Evil 4
神偷4,Thief
刺客信条4：自由呐喊,Assassin's Creed Freedom Cry
合金弹头3,METAL SLUG 3
出击飞龙HD,Strider Hiryu HD
放逐之城,Banished
苍翼默示录：厄运扳机,BlazBlue: Calamity Trigger
乐高大电影：游戏版,The LEGO Movie Videogame
人类财产,Humanity Asset
无情的传奇：被遗弃的新娘,Grim Legends: The Forsaken Bride
斑鸠,Ikaruga
超级杀人蜂,Super Killer Hornet
圣符国度：数字版,Talisman Digital Edition
缉毒飞警：紫外线牛奶,//N.P.P.D. RUSH//- The milk of Ultraviolet
六角细胞,Hexcells
游戏大亨1.5,Game Tycoon 1.5
创世E,NaissanceE
恶魔城：暗影之王2,Castlevania：Lords of Shadow 2
双截龙：彩虹,Double Dragon: Neon
企业生活方式模拟,Corporate Lifestyle Simulator
绵羊回家2,Home Sheep Home 2：A Little Epic
阿加雷斯特战记,Agarest: Generations of War
街头小车手,Little Racers STREET
伊森：陨石猎人,Ethan: Meteor Hunter
昂维克,Angvik
赤影战士：复刻版,Oniken: Unstoppable Edition
女孩爱机器人,Girls Like Robots
医院经营者,Hospital Manager
七大奇迹,7 Wonders of the Ancient World
能量启动,Power-Up
爵士朋克,Jazzpunk
疯狂摩托,LocoCycle
七大奇迹：奇幻之旅,7 Wonders: Magical Mystery Tour
星际之翼：黄金版,Jets'n'Guns Gold
圣战群英传3：重生,Disciples III：Reincarnation
反恐行动：红色利剑,Takedown: Red Sabre
小不点大冒险,Grimind
吞食天地1重制版,Tenchi o Kurau 1
圣者与亡灵少女,Holy Avatar vs. Maidens of the Dead
亡命神抽,Dead Man's Draw
达斯蒂复仇,Dusty Revenge
小犬座α,Procyon
无尽死亡之屋,Countless Rooms of Death
真神秘岛：杰作版,realMyst: Masterpiece Edition
水猫猫：奶工保卫战,Aqua Kitty：Milk Mine Defender
阿月历险记：黄昏之王,Aveyond : Lord of Twilight
99级地狱,99 Levels To Hell
致命伤害,Major Mayhem
邪恶任务,EvilQuest
黑色灵魂,BlackSoul
可能是射箭吧,Probably Archery
兰博：游戏版,Rambo The Video Game
卡城之夜,Card City Nights
OMG僵尸,OMG Zombies
室友,Roommates
终极责任：复仇小故事,Ultionus A Tale of Petty Revenge
驶向地狱,Drive to Hell
仓库叉车模拟2014,Warehouse and Logistic Simulator 2014
太空界限,Horizon
天使在哭泣,Where Angels Cry
节奏狂欢3,BeatBlasters 3
急速冲击,C-RUSH
龙岭传说：斯缀克斯,Tales From The Dragon Mountain：The Strix
地牢：第三章,Eschalon: Book 3
醉酒机器人,Drunken Robot Pornography
吃豆人博物馆,PAC-MAN MUSEUM
方块与星星：随意之爱,Cube & Star: An Arbitrary Love
收割者：剑客传奇,Reaper: Tale of a Pale Swordsman
秦殇2,Prince Of Qin 2
王国传说,Kingdom Tales
一起歌唱,Let's Sing
艾尔杜林的记忆,The Memory of Eldurim
世界拉力锦标赛：漂移,WRC Powerslide
忍者猫大战武士狗,Ninja Cats vs Samurai Dogs
天旋地转2,Descent 2
燃烧战车,Burning Cars
暗影狂奔：龙陨,Shadowrun: Dragonfall
钢铁之魂,Iron Soul
神秘探险：冰雪囚徒,Mystery Expedition: Prisoners of Ice
托尔特克的黄金传说,The Legend of the Toltecs Gold
云斯顿赛车2014,NASCAR 14
升腾,Windborne
致命的诱惑：艺术牢狱,Fatal Passion: Art Prison
梦之路：两个王国,Dreampath：The Two Kingdoms
火焰冲撞,Pyroclysm
致命的迷局：玩具制造师,Deadly Puzzles: Toymaker
狼影迷踪4：绯色月下,Shadow Wolf Mysteries 4: Under the Crimson Moon
古人之谜3：三个守护者,Mystery of the Ancients: Three Guardians
安吉丝的梦境,Through Andreas Eyes
死亡之舞：最后的慢拍,Danse Macabre: The Last Adagio
忘却的战场：翼骑团 ,Forgotten Battlefield
维京传奇2：新世界,Viking Saga 2: New World
矮人寓言,Fable of Dwarfs
海盗数图,Fill & Cross Pirates Riddles
爱娃的冒险,Ava's Quest
危险害虫,Dangerous Insects
多重幻境,Multilytheus
小小破烂发射器,Little Litter Launcher
绝密档案：广场杀人案,Stride Files：The Square Murder
女巫冒险之旅,Quest of the Sorceress
丰收城堡,The LootCastle
攻城英雄,Hero Siege
王国保卫战,Kingdom Rush
格林童话惊魂记,Grimm
合金装备崛起：复仇,Metal Gear Rising：Revengeance
刺客信条：解放HD,Assassin's Creed: Liberation HD
旗帜的传说,The Banner Saga
黑色守卫,Blackguards
数据黑客：腐败,Data Hacker: Corruption
联合军,CONSORTIUM
破碎时光,Broken Age
章鱼奶爸：致命捕捉,Octodad：Dadliest Catch
汽车修理工模拟2014,Car Mechanic Simulator 2014
尼德霍格,Nidhogg
咒语力量2：昔日恶魔,SpellForce 2: Demons of the Past
魔法门10：传承,Might & Magic X: Legacy
致命30,Deadly 30
模拟救难员,Recovery Search & Rescue Simulation
神之折纸,KAMI
星期六早晨RPG,Saturday Morning RPG
雷堤康之谜,Secrets of raetikon
击打节奏,KickBeat
隔离：第一章,Estranged：Act I
飞行轰炸,Blast Em!
西部牛仔,Gunman Clive
阿卡尼亚王国3：里瓦之影,Realms of Arkania 3 - Shadows over Riva Classic
阿卡尼亚王国2：星之痕迹,Realms of Arkania 2 - Star Trail Classic
亚马逊公主罗兰,Loren The Amazon Princess
浮月,Driftmoon
攻击向量,Strike Vector
吸血女巫：夏令营,Shtriga: Summer Camp
生命迹象,Signs of Life
自由下落,Freedom Fall
神秘地域：伊班的足迹,Unearthed: Trail of Ibn Battuta
突击军团,A-Men
神秘世界,Arcane Worlds
火枪手：维多利亚的冒险,The Musketeers Victorias Quest
队长莫嘉娜和金龟,Captain Morgane and the Golden Turtle
腹黑计划,Our Darker Purpose
职业篮球经理2014,Basketball Pro Management 2014
狼的伪装,Guise of the Wolf
人类必须反击,Humans Must Answer
最后一波,Final Rush
原生花3：华丽的冒险,ysh3
胶囊太空站,Rymdkapsel
中国龙,Chinese Dragon
继续？9876543210,Continue?9876543210
蒸汽土匪：前哨,Steam Bandits: Outpost
极地卡车模拟,Arctic Trucker：The Simulation
逃离黑暗沼泽庄园,Escape from Darkmoor Manor
怪物弹药,Monsters & Munitions
我要疯了,I wanna go BANANAS
机器人帕尔,Robo Pal
宝石收集者,The Gem Collector
海底世界2：重装上阵,Aquanoid 2: Reloaded
钢铁英雄,Heroes of Steel
永恒之旅2：生命山,Amaranthine Voyage 2 The Living Mountain
被遗忘的王国：梦想的废墟,Forgotten Kingdoms: Dream of Ruin
地产大亨9：奥秘2,Build a Lot 9: Mysteries 2
快递王2,Delivery King 2
无名传说：魔戒的诅咒,Obscure Legends: Curse of the Ring
不祥之物：全家福,Ominous Objects：Family Portrait
恶魔猎手：不为人知的故事,Demon Hunter: Chronicles from Beyond The Untold Story
世界传奇3：狼灵,Myths of the World 3: Spirit Wolf
杂乱3：谁是虚空,Clutter 3: Who is The Void
耶拉索世界,Yelaxot
梦幻战争3,Dream War 3
新世纪的来临,Fall of the New Age
字母机器人麻将2,Alphabet Robots Mahjong 2
鱼斗蟹,Fish vs Crabs
冷酷面具4：背叛者的遗产,Grim Facade A Wealth of Betrayal
农场麻将2,Barnyard Mahjong 2
毁灭追猎者,Doomstalker
银河输送站传奇,Galcon Legends
残酷收藏：梦想成真酒店,Cruel Collections: The Any Wish Hotel
皮洛塔,Pilota
货物登陆器,Cargo Lander
爱你的费伍德,"Love, By Fred Wood"
闹鬼列车：灵魂的摆渡人,Haunted Train：Spirits of Charon
空间切割,Space Slice
发光球,Glow Ball
危险游戏：命运的囚徒,Dangerous Games: Prisoners of Destiny
是男人就要坚强,Stick it to The Man
无冬Online,Neverwinter
行尸走肉：第二季,The Walking Dead: Season 2
与日赛跑,Race the Sun
戈莫,Gomo
蒸汽世界,SteamWorld Dig
科比的豪华宝藏,Cobi Treasure Deluxe
内脏清洁工：圣诞之怒,Viscera Cleanup Detail: Santa's Rampage
奥兹：地球冒险,Oozi：Earth Adventure
特斯拉学徒,Teslagrad
紫发姑娘历险记,Violett
终极速度,Velocity Ultra
艾力克斯·亨特：意志的主宰,Alex Hunter: Lord of the Mind
暗影星球,Darkout
寻找泰迪,Finding Teddy
漫威迷城,Marvel Puzzle Quest
巴士模拟2,OMSI 2
石人历险记,Stonerid
圆珠笔宇宙：无限,Ballpoint Universe - Infinite
小小大脑,Tiny Brains
掠夺之剑：暗影大陆,Ravensword: Shadowlands
小小世界2,Small World 2
画个火柴人,Draw a Stickman: EPIC
逆战,Assault Fire
飞速电梯,Savant-Ascent
国王的恩赐：罗马军团,King’s Bounty: Legions
不是机器人,Not The Robots
最终幻想8,Final Fantasy VIII
两兄弟,Two Brothers
僵尸大亨2,Zombie Tycoon 2: Brainhov's Revenge
木遁大师,Wooden Sen'SeY
小说家,The Novelist
矢量跑酷,Vector
机场模拟2014,Airport Simulator 2014
桌面曲棍球,Shufflepuck Cantina Deluxe
侍铳,Samurai Gunn
伐木工模拟2013,Woodcutter Simulator 2013
领土之战4：飞升王座,Dominions 4: Thrones of Ascension
爱情炼金术：凛冬之心,Love Alchemy A Heart In Winter
迅猛追击,Nimble Quest
300英雄,300 HEROES
小小野蛮人DX,Tiny Barbarian DX
圣诞麻将,Christmas Mahjong
最后的战役2,The Last Stand 2
蒸汽世界：满手尘土,SteamWorld Dig：A Fistful of Dirt
喋血街头3：宣泄,Postal 3：Catharsis
自由篮球,Freestyle 2
太空战将：星群大战,Spaceforce Constellations
真实世界赛车,Real World Racing
史前文明：石器时代,Pre Civilization Marble Age
摇滚摩托,Motor Rock
一级方程式赛车经理2014,Racing Manager 2014
X赛车,X Motor Racing
森林猎人,Forest Hunter
花园公司2：成名之路,Gardens Inc.2: The Road to Fame Platinum
盖伊VS邪恶领土,Guy Vs. The Wicked and Nefarious Land
变形飞车,Infinity Random Race
破碎拳击,SmashBox
矮人矿工,Pitman
破晓,Dawning
感染：僵尸的复仇,infeKted：Zombies Revenge
闹鬼庄园3：画中美人,Haunted Manor：Painted Beauties
奇异之爱：吸血男友,Strange Loves: Vampire Boyfriends
史诗麻将2,Mahjong Epic 2
寂静之夜2：少儿管弦乐团,Silent Nights: Children's Orchestra
遗产传奇：绞刑架下的慈悲,Legacy Tales: Mercy Of The Gallows
病态之地,Morbid Land
魔法师和掠夺者,Magicians and Looters
方块侠,Little Trus Man
基友的故事,Rico: A Tale of Two Brothers
罗斯曼,Rossman
刺鳐,Stingray
盛夏的隐秘回忆,Hidden Memories Of A Bright Summer
影子拳手+,ShadowBoxer+
金胡子,Goldbeard
