zh_name,en_name
重生之我是小虾米,Rebirth:I am XiaoXiami
船上的浣熊,Raccoon on a boat
七日杀,7 Days to Die
七日世界,Once Human
绝区零,Zenless zone zero
恋爱单选题,Only You
中国式网游,Chinese Online Game
王国保卫战5：联盟,Kingdom Rush 5: Alliance TD
失落城堡2,Lost Castle 2
诺兰德,Norland
祇：女神之路,Kunitsu Gami: Path of the Goddess
卡库远古封印,KAKU: Ancient Seal
边境猎人：艾尔莎的命运之轮,FORNTIER HUNTER: Erza's Wheel Of Fortune
风暴之门,StormGate
妖之乡,Home of the Yokai
燧石枪：黎明之围,Flintlock: The Siege of Dawn
一起来扫雷,Let's Minesweeper
我为情狂,Drive Me Crazy
灾厄堡垒,Cataclismo
无人愿死,Nobody Wants to Die
修仙家族模拟器,Immortal Family
魔盾联盟,Gorgon Shield
格式塔：蒸汽与煤渣,Gestalt: Steam & Cinder
亥灵胎,SCHiM
地球防卫军6,EARTH DEFENSE FORCE 6
辛特堡传说,Dungeons of Hinterberg
打倒白雪公主！乌拉！,Union of Gnomes
愤怒的大脚,Anger Foot
水烟水雾,Hookah Haze
超侦探事件簿 雾雨谜宫 Plus,Master Detective Archives: RAIN CODE Plus
球球大塔防,Towerful Defense: A Rogue TD
The Star Named EOS︰未晓星程,The Star Named EOS
西游-琉璃盏,Glaze Cup - Journey to the West
沉没意志,Minds Beneath Us
接线疑云,The Operator
子归,Blossom
二战前线合集,Commando Collection
喵喵大战死剩种,Cats on Duty
超级星探,Superscout
波与月夜之青莲,Bo:Path of the Teal Lotus
战壕惊魂,CONSCRIPT
哲学梗模拟器,Thought Experiment Simulator
英灵战士自走棋,Raiders of Valhalla
绝命游歌,Songs Of Death
迷你空管,Mini Airways
太空房地产,Space for Sale
皇帝与社稷,The Emperor and State
至暗时刻：序幕,Dark Hours: Prologue
F1车队经理2024,F1® Manager 2024
纯爱咖啡厅～帕露菲重制版～,Parfait Remake
神器行者: 重生,Artifact Seeker: Resurrection
幽暗洞穴,The Dark Cave
风流公子,romantic young man
零异机动队,Zero Division
故障星系,Galactic Glitch
时尚梦想家：新店开张,Retail Company Simulator: Prologue
导演模拟器,Director Simulator
最后的低语,Last Whisper
逃出从此以后：入职培训,Escape from Ever After: Onboarding
绝境使者,Time Treker
魔法餐作室,Magical Delicacy
没有怪物受到伤害的 TD,No Creeps Were Harmed TD
丽露娅与夏夏的纯白谎言,Lilja and Natsuka Painting Lies
夜店高手之御女心经,In Search Of You
背后,Back
江湖录：锋芒初试,JIANGHU CHRONICLES: PROLOGUE
累趴侠,Yet Another Exhausting Day
动物园模拟器,Zoo Simulator
鬼灭之刃 争当最强队士！,Demon Slayer -Kimetsu no Yaiba- Sweep the Board!
最终幻想14：黄金的遗产,FINAL FANTASY XIV: DAWNTRAIL
大家一起 骰子街,MACHI KORO With Everyone
防御纪元,Age of Defense
幻象游园剧,Illusion Carnival
旧日飞车,Old School Rally
SNK vs. Capcom 乱舞千年,SNK VS. CAPCOM SVC CHAOS
忍者杀手 火烧新埼玉,NINJA SLAYER NEO-SAITAMA IN FLAMES
美少女梦工厂2 韶华再续,Princess Maker 2 Regeneration
二分之一 剧情纯享版,Black & White Lite
星际掠夺者: 幸存者,Astro Looter: Survivor
异变之海,Sea of ​Mutation
异变之海：重生,Sea of ​Mutation:Rebirth
文艺复兴王国战争,Renaissance Kingdom Wars
丰登之日: 我的梦中农场,Harvest Days
担架人,STRETCHER MEN
月白星斗,Lunar Glow Stellar Dance
面具传说：维可历险记,Wéko The Mask Gatherer
花园小径,The Garden Path
机械觉醒,M.O.O.D.S.
深夜拉面,Midnight Ramen
规则怪谈之镇尸,Supernatural Rules Suppress Ghosts
失落矿场,Forgotten Mines
疾风之刃：零,KRITIKA:ZERO
绝地反击,The Fight Of Escaper
Hello World - 你好世界,Hello World
迷宫∞创造,Dungeon ∞ Create
《轮班87》,Shift 87
魔能英雄,Deathless
园艺大师,Horticular
星球田园诗,Farlands
灵魂差分,Plateman
蜥学东渐,Geckorientalism
谷峰地,Valley Peaks
山水画乡,Shanshui Haven
惑星战士G,G WARRIOR
镇魂学院,Suppress Academician
重返地球,ReEarth
攻壳行者,Shell Runner
我们把似曾相见的「那些游戏」都做成了火柴人，可是你又能否成功过关呢？2,THOSE GAMES 2
青鬼,Aooni
绿蝇侠2：超限,BLOWFLY2:OVERLIMIT
绘夏,Été
旗帜与战火,Pennon and Battle
闪客快跑3,Xrun3
伊甸岛,Eden Island
都广丹青录,Inkighter
小猫换装,Kitten's Wardrobe
公主：东方与远征,Princess: The East and the Expedition
连果效应,Fruit: Chain Effect
除邪,CHUXIE
修复师：起源,The Renovator: Origins
地牢地牢！,Dungeon Dungeon!
锄禾日当午,CROPS!
恐龙部落：新纪元,DinoTribe:New Era
农场还债物语,Farm Debt Repay Life
工厂直销模拟器,Factory Outlet Simulator
异常1999:49区,Abnormal1999:Sector 49
永恒逃脱：暗影城堡,Eternal Escape: castle of shadows
勇拳冲锋,Brazen Blaze
翌日 -波奇狗的历险记-,Tsugunohi -Pocky dog’s adventure-
烟之书,MistsBook
无极群侠传,Sifu's Quest
残雪凝辉录,Truth in Turbulent
鸟儿在哪里,Where Birds
几维鸟在哪里,Where Kiwis
后室：迷失,Backrooms: Lost
迷海奇航,Mysterious Voyage
狐狸在哪里,Where Foxes
最强祖师,The Strongest Ancestor
星际意志,Space Will
马拉松2,Classic Marathon 2
迪奥尼索斯传奇,Legends of Dionysos
往生秘药,Elixir
重装岚影,Heavy Storm Shadow
幽咪在哪里,Where Ghost Cats
404号房间,Room No 404
古神模拟器,ElderGods Simulator
生命不是自动的,life is not auto
七日求生：新世界,Zombie War:New World
肌肉女丽莎养成日记,Muscle Girl Lisa: Training Diary
无尽的休闲驾驶,Endless Casual Drive
风物恋歌,The Memory of Mallet
船长的巧克力工厂,Captain Contraption's Chocolate Factory
小女巫与失落的记忆,The Little Witch and The Lost Memories
龙魂：魔都异闻 序章,Dragon Spirits 2: Prologue
精分医生,Split Personality Doctor
深渊食堂,AbyssalRestaurant
鸟之谜,Avian Enigma
方向！升级！,Direction!LevelUP!
武林江湖-烈火战神传,Martial arts-God of War
喵急送,Hirocato - The Delivery Hero
动作失灵,System Malfunction
香蕉猴,Banana Monkeys
汉娜的日子,Hannah’s Day
七度荒域：混沌之树 序章,7th Domain:Tree of Chaos Prologue
骰号玩家：预告片,Dice Player One: Trailer
塌方,Landsilid
云学习,CloudStudy
妖魔缠身,dark daemon
勇者圣剑传说,Legend of the Brave Sword
愤怒模拟器,Rage Simulator
城堡征服者：序章,War Of Castles - Prologue
单挑洪荒,Single-handedly Challenge Ultimate World
幽灵,Ghost
出牌吧冒险家,Go Poker
浅海漫游,Shallow Sea Roaming
兔子爱丽丝漫游奇境记,Bunny Alice in Wonderland
陨铁山,Falling Mountains
战国：大逃杀,Sengoku:Battle Royal
星辰计划,StellarPlans
耶兰多,Y'Ryando
卡特冒险,Carter Story
色速2,RGB Rush 2
清明,qing ming
谬撒牌,MiuSa
后末日侠盗,TACTICAL BANDITS
孤单一人在学校,Alone in the School
沙威玛传奇,Shawarma Legend
越来越危险：逃离暗影,Danger and Deadlier
迪菲大陸戰記 III,difei land advnture 3
R空间,R-Space
次元乱斗,Dimension Fight
超自然场所,Paranormal place
出海超人,Ocean Man
钓鱼喂猫,Fishing for cats
骰子 骰子 骰子,Dice Dice Dice
最终抵抗：幸存者,My Last Stand: Survivors
进化:机战小队,Evolve:Mecha Squad
蜀末：序章,Shumo: Prologue
勇往直前,Forward Brave
猫咪干得好,Cat Good Work
如风：序章,Zefyr: Prologue
天海之域,HeavensSea
24小时故事：森中小屋,24H Stories: The Cabin In The Forest
大战天空,Skies above the Great War
天空之森,Sky Forest
奔跑吧我的新娘！,Run Run My Bride！
玩个Gui：序章,Loopstructor:Prologue
无尽幻境,Grandma's Cane
守卫猎户座,Orion Defense
逃离克里夫,Escape From Clive
彼得寻蓝图记,Peter's Journey
循环圈：保卫战,Circle TD:Defence War
王国之下,UnderKingdom
骑战：烈火之剑,Mounted War
蘑菇跳跳,MushroomJump
帝奉龙凰,DI FENG LONG HUANG
射击甜甜圈,Shooting Donut
史莱姆来了,Slime Coming
希尔德救赎,Hilde Redemption
农场还债物语：序章,Farm Debt Repay Life:Prologue
决厕,TOiLET
运动派对 体感健康游戏,Sports Party Motion Sensing Fitness Game
VR海底沉船,Lost boat: VR Underwater Discovery
美眉猜谜,Beauty Riddle
哪吒过海,Nezha Crossing the Sea
矮人道夫,Dorf the Dwarf
奇幻世界,Wonder World
射球球篮,Shoot to Shoot
指挥官虫战,Commander Bug Wars
末日機甲：戰術獵人,AfterM.A.T.H.
皇主乾坤,HUANG ZHU QIAN KUN
动物赛跑VR,Animal Race Run VR
神奈学园,kanna school
甜蜜蜜：甜点,Love
终极贪吃蛇,Ultimate Snake
教团2033,2033 the order
摸鱼大师,Slack off master
我委托了一些蝴蝶3,I commissioned some butterflies 3
我委托了一些老鼠5,I commissioned some mice 5
梦世界大冒险,Dream World Adventure
迷你市场模拟器 VR,Mini-Market Simulator VR
剪刀少女的杂草危机,Scissor Girl's Weed Crisis
五行封印：无限,Five-element Seal: Infinity
友尽派对,Party Play Mania
摩托车模拟器 MX 驾驶,Motorbike Simulator MX Driving
传始至终,Transmission from start to end
时光回路,Time Circuit
大有空间,DAYOU SPACE
语言学习模拟器 - 字母表,Language Learning Simulator - Alphabet
美国保安,Plaza Security
拉斯维加斯隐藏的101只猫,101 Cats Hidden in Las Vegas
骑虫者,Bug Riders
第一后裔,The First Descendant
链在一起,Chained Together
王国之心3,Kingdom Hearts III
真女神转生5：复仇,Shin Megami Tensei V：Vegneance
破坏协议：在线城市RPG,BROKE PROTOCOL: Online City RPG
活侠传,Legend of Mortal
城堡惊魂,Sneak Out
地下蚁国,Empires of the Undergrowth
验尸模拟器,Autopsy Simulator
工人与资源：苏维埃共和国,Workers & Resources: Soviet Republic
怪物猎人物语,Monster Hunter Stories
骰子闯魔城,Dice & Fold
角斗士公会经理,Gladiator Guild Manager
世上英雄,The Heroes Around Me
ALTF42：友谊万岁,ALTF42Ⅱ
炭熄,ashes
宇宙海盗,CosmoPirates
总裁，你想和谁谈恋爱,Secrets of the Heartbeat
我是兼职工!!,I Am Part-time Worker!!
出牌吧！魂之勇者,Deck of Souls
寂静之歌,Songs Of Silence
切尔诺贝利清算人,Chornobyl Liquidators
血源卡丁车,Nightmare Kart
手办冒险团,Figure Adventure
