game_name,trainer_name,trainer_url,download_url
Bravely Default II,Bravely Default II Trainer,https://flingtrainer.com/trainer/bravely-default-ii-trainer/,"https://flingtrainer.com/downloads/CGjuoozcG1HTOsexYGKLMg,,"
Bright Memory,Bright Memory Trainer,https://flingtrainer.com/trainer/bright-memory-trainer/,"https://flingtrainer.com/downloads/WjuEn9sdP1VPK6PmDIM8Ew,,"
Bright Memory: Infinite,Bright Memory: Infinite Trainer,https://flingtrainer.com/trainer/bright-memory-infinite-trainer/,"https://flingtrainer.com/downloads/cqaKZ_7sxbF0v0W97QrotA,,"
Broken Arrow,Broken Arrow Trainer,https://flingtrainer.com/trainer/broken-arrow-trainer/,"https://flingtrainer.com/downloads/Spk3iwypSdCKSYvuFxbBUg,,"
Bullet Girls Phantasia,Bullet Girls Phantasia Trainer,https://flingtrainer.com/trainer/bullet-girls-phantasia-trainer/,"https://flingtrainer.com/downloads/zMD6fyKbrzblynSQun4oJA,,"
Call Of Duty: Modern Warfare 2 Remastered,Call Of Duty: Modern Warfare 2 Remastered Trainer,https://flingtrainer.com/trainer/call-of-duty-modern-warfare-2-remastered-trainer/,"https://flingtrainer.com/downloads/WcHFUoG473RebCVaPJJgMA,,"
Captain Tsubasa: Rise of New Champions,Captain Tsubasa: Rise of New Champions Trainer,https://flingtrainer.com/trainer/captain-tsubasa-rise-of-new-champions-trainer/,"https://flingtrainer.com/downloads/ELKEnG6Ja6ogIAk4zmE3ng,,"
Chernobylite,Chernobylite Trainer,https://flingtrainer.com/trainer/chernobylite-trainer/,"https://flingtrainer.com/downloads/kH2WcJrZKtAZW8xzwDGFew,,"
Chinese Parents,Chinese Parents Trainer,https://flingtrainer.com/trainer/chinese-parents-trainer/,"https://flingtrainer.com/downloads/z-tavglTsxNi99RcLK1Hyg,,"
Chorus,Chorus Trainer,https://flingtrainer.com/trainer/chorus-trainer/,"https://flingtrainer.com/downloads/rqmT6anGW9hetZGh-shszA,,"
Chrono Ark,Chrono Ark Trainer,https://flingtrainer.com/trainer/chrono-ark-trainer/,"https://flingtrainer.com/downloads/T2ZCgTBDwMDxZla3X2TYxQ,,"
Cities: Skylines II,Cities: Skylines II Trainer,https://flingtrainer.com/trainer/cities-skylines-ii-trainer/,"https://flingtrainer.com/downloads/cHzU019QhrMOvybc82YF_g,,"
Clair Obscur: Expedition 33,Clair Obscur: Expedition 33 Trainer,https://flingtrainer.com/trainer/clair-obscur-expedition-33-trainer/,"https://flingtrainer.com/downloads/s8J3TL4ByT0ZsOc6_htFMg,,"
Cluckmech Oasis,Cluckmech Oasis Trainer,https://flingtrainer.com/trainer/cluckmech-oasis-trainer/,"https://flingtrainer.com/downloads/5EDg8w6l61mFEAhdAG5e3Q,,"
Code Vein II,Code Vein II Trainer,https://flingtrainer.com/trainer/code-vein-ii-trainer/,"https://flingtrainer.com/downloads/_QVdnYz7wOaUmMcNCF97vQ,,"
Code Vein,Code Vein Trainer,https://flingtrainer.com/trainer/code-vein-trainer/,"https://flingtrainer.com/downloads/QFkNP6Vf8GcmKWghm5vH8A,,"
Commandos 2 – HD Remaster,Commandos 2 – HD Remaster Trainer,https://flingtrainer.com/trainer/commandos-2-hd-remaster-trainer/,"https://flingtrainer.com/downloads/qHrD5ZVPSE-aJ91QfV19iQ,,"
